[ DEBUG ][ 2022-06-13 10:51:03,460 ][ utils ] ==> (1.171) 
            SELECT c.relname,
            CASE WHEN c.relispartition THEN 'p' WHEN c.relkind IN ('m', 'v') THEN 'v' ELSE 't' END
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None
[ DEBUG ][ 2022-06-13 10:51:45,463 ][ utils ] ==> (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2022-06-13T10:51:45.450602'::timestamp AND "django_session"."session_key" = 'izhagkz37zxgtr1xdgvktnjzzc8klmba') LIMIT 21; args=(datetime.datetime(2022, 6, 13, 10, 51, 45, 450602), 'izhagkz37zxgtr1xdgvktnjzzc8klmba')
[ DEBUG ][ 2022-06-13 10:51:45,465 ][ utils ] ==> (0.001) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,470 ][ utils ] ==> (0.002) SELECT "start_form_montant"."id", "start_form_montant"."compagnie_id", "start_form_montant"."depart_id", "start_form_montant"."destination_id", "start_form_montant"."prix" FROM "start_form_montant" WHERE "start_form_montant"."id" = 6 LIMIT 21; args=(6,)
[ DEBUG ][ 2022-06-13 10:51:45,545 ][ utils ] ==> (0.002) SELECT "start_form_agence"."id", "start_form_agence"."compagnie_id", "start_form_agence"."commune_id", "start_form_agence"."coordonnee_geo", "start_form_agence"."adresse_geo" FROM "start_form_agence" WHERE "start_form_agence"."id" = 10 LIMIT 21; args=(10,)
[ DEBUG ][ 2022-06-13 10:51:45,549 ][ utils ] ==> (0.001) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,550 ][ utils ] ==> (0.001) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 5 LIMIT 21; args=(5,)
[ DEBUG ][ 2022-06-13 10:51:45,553 ][ utils ] ==> (0.001) SELECT "start_form_agence"."id", "start_form_agence"."compagnie_id", "start_form_agence"."commune_id", "start_form_agence"."coordonnee_geo", "start_form_agence"."adresse_geo" FROM "start_form_agence" WHERE "start_form_agence"."id" = 9 LIMIT 21; args=(9,)
[ DEBUG ][ 2022-06-13 10:51:45,556 ][ utils ] ==> (0.001) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,557 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,564 ][ utils ] ==> (0.000) DECLARE "_django_curs_139921310349056_sync_4" NO SCROLL CURSOR WITH HOLD FOR SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie"; args=()
[ DEBUG ][ 2022-06-13 10:51:45,573 ][ utils ] ==> (0.000) DECLARE "_django_curs_139921310349056_sync_5" NO SCROLL CURSOR WITH HOLD FOR SELECT "start_form_agence"."id", "start_form_agence"."compagnie_id", "start_form_agence"."commune_id", "start_form_agence"."coordonnee_geo", "start_form_agence"."adresse_geo" FROM "start_form_agence"; args=()
[ DEBUG ][ 2022-06-13 10:51:45,575 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,576 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,578 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,580 ][ utils ] ==> (0.001) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,582 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,583 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 2 LIMIT 21; args=(2,)
[ DEBUG ][ 2022-06-13 10:51:45,585 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,586 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 4 LIMIT 21; args=(4,)
[ DEBUG ][ 2022-06-13 10:51:45,587 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,589 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 6 LIMIT 21; args=(6,)
[ DEBUG ][ 2022-06-13 10:51:45,590 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 2 LIMIT 21; args=(2,)
[ DEBUG ][ 2022-06-13 10:51:45,591 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,593 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 2 LIMIT 21; args=(2,)
[ DEBUG ][ 2022-06-13 10:51:45,595 ][ utils ] ==> (0.001) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,596 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,597 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,599 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,600 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,603 ][ utils ] ==> (0.001) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,606 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 5 LIMIT 21; args=(5,)
[ DEBUG ][ 2022-06-13 10:51:45,614 ][ utils ] ==> (0.000) DECLARE "_django_curs_139921310349056_sync_6" NO SCROLL CURSOR WITH HOLD FOR SELECT "start_form_agence"."id", "start_form_agence"."compagnie_id", "start_form_agence"."commune_id", "start_form_agence"."coordonnee_geo", "start_form_agence"."adresse_geo" FROM "start_form_agence"; args=()
[ DEBUG ][ 2022-06-13 10:51:45,616 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,617 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,619 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,621 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,622 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,623 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 2 LIMIT 21; args=(2,)
[ DEBUG ][ 2022-06-13 10:51:45,625 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,626 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 4 LIMIT 21; args=(4,)
[ DEBUG ][ 2022-06-13 10:51:45,629 ][ utils ] ==> (0.001) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,630 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 6 LIMIT 21; args=(6,)
[ DEBUG ][ 2022-06-13 10:51:45,632 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 2 LIMIT 21; args=(2,)
[ DEBUG ][ 2022-06-13 10:51:45,633 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,636 ][ utils ] ==> (0.001) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 2 LIMIT 21; args=(2,)
[ DEBUG ][ 2022-06-13 10:51:45,639 ][ utils ] ==> (0.001) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,641 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,642 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,644 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,645 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,647 ][ utils ] ==> (0.001) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:45,648 ][ utils ] ==> (0.000) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 5 LIMIT 21; args=(5,)
[ DEBUG ][ 2022-06-13 10:51:45,683 ][ utils ] ==> (0.021) INSERT INTO "request_request" ("response", "method", "path", "time", "is_secure", "is_ajax", "ip", "user_id", "referer", "user_agent", "language") VALUES (200, 'GET', '/admin-back-office/start_form/montant/6/change/', '2022-06-13T10:51:45.661745'::timestamp, false, false, '127.0.0.1'::inet, 1, 'http://127.0.0.1:8000/admin-back-office/start_form/montant/', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7') RETURNING "request_request"."id"; args=(200, 'GET', '/admin-back-office/start_form/montant/6/change/', datetime.datetime(2022, 6, 13, 10, 51, 45, 661745), False, False, Inet('127.0.0.1'), 1, 'http://127.0.0.1:8000/admin-back-office/start_form/montant/', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7')
[ DEBUG ][ 2022-06-13 10:51:45,687 ][ utils ] ==> (0.001) UPDATE "django_session" SET "session_data" = 'MThjODk4YmMyMDQxZDlkOTg2ODM1ZmY2YjUxY2ZjNGI0NTc5ZGUyOTp7Il9hdXRoX3VzZXJfaWQiOiIxIiwiX2F1dGhfdXNlcl9iYWNrZW5kIjoiZGphbmdvLmNvbnRyaWIuYXV0aC5iYWNrZW5kcy5Nb2RlbEJhY2tlbmQiLCJfYXV0aF91c2VyX2hhc2giOiI2NWE4MjE3MmUzMDc5YjYyOGY3NmU2ZDdkZjVjMTI0N2ZmMjRkOThhIiwiX3Nlc3Npb25fc2VjdXJpdHkiOiIyMDIyLTA2LTEzVDEwOjUxOjQ1LjQ2NjM4MCJ9', "expire_date" = '2022-06-27T10:51:45.684569'::timestamp WHERE "django_session"."session_key" = 'izhagkz37zxgtr1xdgvktnjzzc8klmba'; args=('MThjODk4YmMyMDQxZDlkOTg2ODM1ZmY2YjUxY2ZjNGI0NTc5ZGUyOTp7Il9hdXRoX3VzZXJfaWQiOiIxIiwiX2F1dGhfdXNlcl9iYWNrZW5kIjoiZGphbmdvLmNvbnRyaWIuYXV0aC5iYWNrZW5kcy5Nb2RlbEJhY2tlbmQiLCJfYXV0aF91c2VyX2hhc2giOiI2NWE4MjE3MmUzMDc5YjYyOGY3NmU2ZDdkZjVjMTI0N2ZmMjRkOThhIiwiX3Nlc3Npb25fc2VjdXJpdHkiOiIyMDIyLTA2LTEzVDEwOjUxOjQ1LjQ2NjM4MCJ9', datetime.datetime(2022, 6, 27, 10, 51, 45, 684569), 'izhagkz37zxgtr1xdgvktnjzzc8klmba')
[ DEBUG ][ 2022-06-13 10:51:45,752 ][ utils ] ==> (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2022-06-13T10:51:45.740843'::timestamp AND "django_session"."session_key" = 'izhagkz37zxgtr1xdgvktnjzzc8klmba') LIMIT 21; args=(datetime.datetime(2022, 6, 13, 10, 51, 45, 740843), 'izhagkz37zxgtr1xdgvktnjzzc8klmba')
[ DEBUG ][ 2022-06-13 10:51:45,754 ][ utils ] ==> (0.001) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:45,772 ][ utils ] ==> (0.015) INSERT INTO "request_request" ("response", "method", "path", "time", "is_secure", "is_ajax", "ip", "user_id", "referer", "user_agent", "language") VALUES (200, 'GET', '/admin-back-office/jsi18n/', '2022-06-13T10:51:45.757233'::timestamp, false, false, '127.0.0.1'::inet, 1, 'http://127.0.0.1:8000/admin-back-office/start_form/montant/6/change/', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7') RETURNING "request_request"."id"; args=(200, 'GET', '/admin-back-office/jsi18n/', datetime.datetime(2022, 6, 13, 10, 51, 45, 757233), False, False, Inet('127.0.0.1'), 1, 'http://127.0.0.1:8000/admin-back-office/start_form/montant/6/change/', 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.61 Safari/537.36', 'fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7')
[ DEBUG ][ 2022-06-13 10:51:45,774 ][ utils ] ==> (0.001) UPDATE "django_session" SET "session_data" = 'OTg4MjliMmU3OTAxNDNhZWJmMTE0NDU0ZTk1YjM5Yzg4Yjk4NmU0Zjp7Il9hdXRoX3VzZXJfaWQiOiIxIiwiX2F1dGhfdXNlcl9iYWNrZW5kIjoiZGphbmdvLmNvbnRyaWIuYXV0aC5iYWNrZW5kcy5Nb2RlbEJhY2tlbmQiLCJfYXV0aF91c2VyX2hhc2giOiI2NWE4MjE3MmUzMDc5YjYyOGY3NmU2ZDdkZjVjMTI0N2ZmMjRkOThhIiwiX3Nlc3Npb25fc2VjdXJpdHkiOiIyMDIyLTA2LTEzVDEwOjUxOjQ1Ljc1NTQwMCJ9', "expire_date" = '2022-06-27T10:51:45.772725'::timestamp WHERE "django_session"."session_key" = 'izhagkz37zxgtr1xdgvktnjzzc8klmba'; args=('OTg4MjliMmU3OTAxNDNhZWJmMTE0NDU0ZTk1YjM5Yzg4Yjk4NmU0Zjp7Il9hdXRoX3VzZXJfaWQiOiIxIiwiX2F1dGhfdXNlcl9iYWNrZW5kIjoiZGphbmdvLmNvbnRyaWIuYXV0aC5iYWNrZW5kcy5Nb2RlbEJhY2tlbmQiLCJfYXV0aF91c2VyX2hhc2giOiI2NWE4MjE3MmUzMDc5YjYyOGY3NmU2ZDdkZjVjMTI0N2ZmMjRkOThhIiwiX3Nlc3Npb25fc2VjdXJpdHkiOiIyMDIyLTA2LTEzVDEwOjUxOjQ1Ljc1NTQwMCJ9', datetime.datetime(2022, 6, 27, 10, 51, 45, 772725), 'izhagkz37zxgtr1xdgvktnjzzc8klmba')
[ DEBUG ][ 2022-06-13 10:51:50,703 ][ utils ] ==> (0.002) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2022-06-13T10:51:50.681090'::timestamp AND "django_session"."session_key" = 'izhagkz37zxgtr1xdgvktnjzzc8klmba') LIMIT 21; args=(datetime.datetime(2022, 6, 13, 10, 51, 50, 681090), 'izhagkz37zxgtr1xdgvktnjzzc8klmba')
[ DEBUG ][ 2022-06-13 10:51:50,706 ][ utils ] ==> (0.001) SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = 1 LIMIT 21; args=(1,)
[ DEBUG ][ 2022-06-13 10:51:50,708 ][ utils ] ==> (0.001) SELECT "start_form_montant"."id", "start_form_montant"."compagnie_id", "start_form_montant"."depart_id", "start_form_montant"."destination_id", "start_form_montant"."prix" FROM "start_form_montant" WHERE "start_form_montant"."id" = 6 LIMIT 21; args=(6,)
[ DEBUG ][ 2022-06-13 10:51:50,712 ][ utils ] ==> (0.001) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:50,714 ][ utils ] ==> (0.001) SELECT "start_form_agence"."id", "start_form_agence"."compagnie_id", "start_form_agence"."commune_id", "start_form_agence"."coordonnee_geo", "start_form_agence"."adresse_geo" FROM "start_form_agence" WHERE "start_form_agence"."id" = 10 LIMIT 21; args=(10,)
[ DEBUG ][ 2022-06-13 10:51:50,715 ][ utils ] ==> (0.000) SELECT "start_form_agence"."id", "start_form_agence"."compagnie_id", "start_form_agence"."commune_id", "start_form_agence"."coordonnee_geo", "start_form_agence"."adresse_geo" FROM "start_form_agence" WHERE "start_form_agence"."id" = 9 LIMIT 21; args=(9,)
[ DEBUG ][ 2022-06-13 10:51:50,717 ][ utils ] ==> (0.000) SELECT (1) AS "a" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 1; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:50,720 ][ utils ] ==> (0.001) SELECT (1) AS "a" FROM "start_form_agence" WHERE "start_form_agence"."id" = 10 LIMIT 1; args=(10,)
[ DEBUG ][ 2022-06-13 10:51:50,722 ][ utils ] ==> (0.001) SELECT (1) AS "a" FROM "start_form_agence" WHERE "start_form_agence"."id" = 9 LIMIT 1; args=(9,)
[ DEBUG ][ 2022-06-13 10:51:50,724 ][ utils ] ==> (0.001) UPDATE "start_form_montant" SET "compagnie_id" = 3, "depart_id" = 10, "destination_id" = 9, "prix" = '150' WHERE "start_form_montant"."id" = 6; args=(3, 10, 9, '150', 6)
[ DEBUG ][ 2022-06-13 10:51:50,726 ][ utils ] ==> (0.000) SELECT "start_form_compagnie"."id", "start_form_compagnie"."name", "start_form_compagnie"."description", "start_form_compagnie"."reference", "start_form_compagnie"."contact1", "start_form_compagnie"."contact2" FROM "start_form_compagnie" WHERE "start_form_compagnie"."id" = 3 LIMIT 21; args=(3,)
[ DEBUG ][ 2022-06-13 10:51:50,728 ][ utils ] ==> (0.001) SELECT "start_form_commune"."id", "start_form_commune"."ville_id", "start_form_commune"."name", "start_form_commune"."description", "start_form_commune"."reference" FROM "start_form_commune" WHERE "start_form_commune"."id" = 5 LIMIT 21; args=(5,)
